drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2013-10-11,5,15,29,33,37,0,301,11.5
2013-10-10,4,16,20,27,33,0,281,11.5
2013-10-09,1,5,31,37,41,0,348.5,15
2013-10-08,20,23,26,36,39,7e+05,285,13.5
2013-10-07,1,2,9,37,41,0,307,13
2013-10-06,17,18,20,21,42,0,317.5,13.5
2013-10-05,8,11,19,25,38,0,197,9
2013-10-04,9,11,18,38,40,0,344.5,12
2013-10-03,4,7,17,20,27,325000,145,7.5
2013-10-02,5,11,14,26,38,0,278.5,10
2013-10-01,3,4,22,27,36,0,241.5,11
2013-09-30,5,17,20,24,33,125000,213.5,9.5
2013-09-29,1,10,11,14,18,125000,125.5,7.5
2013-09-28,15,18,23,39,41,5e+05,359.5,13.5
2013-09-27,9,15,30,31,38,0,271.5,12.5
2013-09-26,1,9,11,21,38,0,191.5,9
2013-09-25,6,13,30,37,38,0,283.5,14.5
2013-09-24,4,5,12,25,34,7e+05,246,9.5
2013-09-23,4,7,9,29,35,0,239,9.5
2013-09-22,7,9,14,28,32,0,197,9
2013-09-21,12,17,30,35,40,0,420,14
2013-09-20,4,24,30,35,43,0,405.5,14.5
2013-09-19,1,3,13,15,32,1e+06,218,10.5
2013-09-18,6,7,24,38,43,0,311,12.5
2013-09-17,12,16,25,28,33,0,241,11
2013-09-16,11,13,29,34,35,0,302.5,12
2013-09-15,15,23,32,34,41,0,354,15
2013-09-14,1,10,16,25,28,0,147,9
2013-09-13,6,24,29,32,35,7e+05,349.5,12.5
2013-09-12,8,24,30,33,43,0,314.5,12.5
2013-09-11,25,26,30,31,33,0,306,13
2013-09-10,2,5,18,39,43,0,274,12.5
2013-09-09,13,25,29,35,41,0,589.5,15
2013-09-08,3,11,18,29,41,1e+06,261.5,11
2013-09-07,19,23,25,29,30,0,204.5,10
2013-09-06,11,29,30,40,43,0,335,13.5
2013-09-05,3,10,13,34,40,0,327,12
2013-09-04,2,4,22,32,43,0,283.5,13
2013-09-03,10,21,22,25,29,0,209,9.5
2013-09-02,27,28,31,34,40,225000,376.5,16
2013-09-01,6,16,19,26,35,0,219.5,11
2013-08-31,1,7,15,25,35,125000,228.5,9.5
2013-08-30,6,7,22,35,37,5e+05,340,12
2013-08-29,1,3,9,24,37,0,226,9.5
2013-08-28,9,17,20,27,42,0,246.5,11.5
2013-08-27,2,4,8,14,37,0,272.5,9.5
2013-08-26,6,21,22,29,30,7e+05,263.5,11
2013-08-25,7,9,13,19,43,0,217.5,9
2013-08-24,1,16,26,29,39,0,246,12.5
2013-08-23,5,24,30,34,42,0,405,13.5
2013-08-22,10,12,20,25,31,0,197.5,8
2013-08-21,5,9,24,27,38,7e+05,220.5,10
2013-08-20,7,10,31,37,40,0,318.5,13
2013-08-19,4,7,11,16,38,0,176,8.5
2013-08-18,10,15,17,34,40,0,267.5,14
2013-08-17,16,33,36,41,43,0,491.5,16.5
